time|run_time|number of errors|number of sites checked|CE|RT|CT|UK|bad
Wed Feb 10 21:34:10 2016|1.17299985886|0|1|0|0|0|0|0|
Wed Feb 10 21:36:11 2016|1.15300011635|0|1|0|0|0|0|0|
Wed Feb 10 21:38:12 2016|1.1099998951|0|1|0|0|0|0|0|
Wed Feb 10 21:40:13 2016|1.19500017166|0|1|0|0|0|0|0|
Wed Feb 10 21:42:14 2016|1.10199999809|0|1|0|0|0|0|0|
Wed Feb 10 21:44:16 2016|1.15700006485|0|1|0|0|0|0|0|
Wed Feb 10 21:46:17 2016|1.21900010109|0|1|0|0|0|0|0|
Wed Feb 10 21:48:18 2016|1.20399999619|0|1|0|0|0|0|0|
Wed Feb 10 21:50:19 2016|1.23600006104|0|1|0|0|0|0|0|
Wed Feb 10 21:52:21 2016|1.17299985886|0|1|0|0|0|0|0|
Wed Feb 10 21:54:22 2016|1.1930000782|0|1|0|0|0|0|0|
Wed Feb 10 21:56:23 2016|1.11699986458|0|1|0|0|0|0|0|
Wed Feb 10 21:58:24 2016|1.19400000572|0|1|0|0|0|0|0|
Wed Feb 10 22:00:25 2016|1.06599998474|0|1|0|0|0|0|0|
Wed Feb 10 22:02:27 2016|1.22099995613|0|1|0|0|0|0|0|
Wed Feb 10 22:04:28 2016|1.32500004768|0|1|0|0|0|0|0|
Wed Feb 10 22:06:29 2016|1.12300014496|0|1|0|0|0|0|0|
Wed Feb 10 22:08:30 2016|1.1859998703|0|1|0|0|0|0|0|
Wed Feb 10 22:10:31 2016|1.12000012398|0|1|0|0|0|0|0|
Wed Feb 10 22:12:33 2016|1.23599982262|0|1|0|0|0|0|0|
Wed Feb 10 22:14:34 2016|1.17100000381|0|1|0|0|0|0|0|
Wed Feb 10 22:16:35 2016|1.14599990845|0|1|0|0|0|0|0|
Wed Feb 10 22:18:36 2016|1.15999984741|0|1|0|0|0|0|0|
Wed Feb 10 22:20:37 2016|1.04100012779|0|1|0|0|0|0|0|
Wed Feb 10 22:22:38 2016|1.19200015068|0|1|0|0|0|0|0|
Wed Feb 10 22:24:40 2016|1.20799994469|0|1|0|0|0|0|0|
Wed Feb 10 22:26:41 2016|1.23600006104|0|1|0|0|0|0|0|
Wed Feb 10 22:28:42 2016|1.16600012779|0|1|0|0|0|0|0|
Wed Feb 10 22:30:43 2016|1.18099999428|0|1|0|0|0|0|0|
Wed Feb 10 22:32:45 2016|1.19799995422|0|1|0|0|0|0|0|
Wed Feb 10 22:34:46 2016|1.05000019073|0|1|0|0|0|0|0|
Wed Feb 10 22:36:47 2016|1.22199988365|0|1|0|0|0|0|0|
Wed Feb 10 22:38:48 2016|1.16700005531|0|1|0|0|0|0|0|
Wed Feb 10 22:40:49 2016|1.21899986267|0|1|0|0|0|0|0|
Wed Feb 10 22:42:51 2016|1.15400004387|0|1|0|0|0|0|0|
Wed Feb 10 22:44:52 2016|1.22300004959|0|1|0|0|0|0|0|
Wed Feb 10 22:46:53 2016|1.17899990082|0|1|0|0|0|0|0|
Wed Feb 10 22:48:54 2016|1.15699982643|0|1|0|0|0|0|0|
Wed Feb 10 22:50:55 2016|1.18400001526|0|1|0|0|0|0|0|
Wed Feb 10 22:52:57 2016|1.19400000572|0|1|0|0|0|0|0|
Wed Feb 10 22:54:58 2016|1.0720000267|0|1|0|0|0|0|0|
Wed Feb 10 22:56:59 2016|1.01099991798|0|1|0|0|0|0|0|
Wed Feb 10 22:59:00 2016|1.2619998455|0|1|0|0|0|0|0|
Wed Feb 10 23:01:01 2016|1.00699996948|0|1|0|0|0|0|0|
Wed Feb 10 23:03:02 2016|1.20000004768|0|1|0|0|0|0|0|
Wed Feb 10 23:05:03 2016|1.1740000248|0|1|0|0|0|0|0|
Wed Feb 10 23:07:05 2016|1.21099996567|0|1|0|0|0|0|0|
Wed Feb 10 23:09:06 2016|1.18700003624|0|1|0|0|0|0|0|
Wed Feb 10 23:11:07 2016|1.17100000381|0|1|0|0|0|0|0|
Wed Feb 10 23:13:08 2016|1.23000001907|0|1|0|0|0|0|0|
Wed Feb 10 23:15:09 2016|1.04999995232|0|1|0|0|0|0|0|
Wed Feb 10 23:17:11 2016|1.15300011635|0|1|0|0|0|0|0|
Wed Feb 10 23:19:12 2016|1.132999897|0|1|0|0|0|0|0|
Wed Feb 10 23:21:13 2016|1.06599998474|0|1|0|0|0|0|0|
Wed Feb 10 23:23:14 2016|1.11899995804|0|1|0|0|0|0|0|
Wed Feb 10 23:25:15 2016|1.13800001144|0|1|0|0|0|0|0|
Wed Feb 10 23:27:16 2016|1.19799995422|0|1|0|0|0|0|0|
Wed Feb 10 23:29:18 2016|1.16600012779|0|1|0|0|0|0|0|
Wed Feb 10 23:31:19 2016|1.14399981499|0|1|0|0|0|0|0|
Wed Feb 10 23:33:20 2016|1.1289999485|0|1|0|0|0|0|0|
Wed Feb 10 23:35:21 2016|1.18600010872|0|1|0|0|0|0|0|
Wed Feb 10 23:37:22 2016|1.25999999046|0|1|0|0|0|0|0|
Wed Feb 10 23:39:24 2016|1.22399997711|0|1|0|0|0|0|0|
Wed Feb 10 23:41:25 2016|1.24000000954|0|1|0|0|0|0|0|
Wed Feb 10 23:43:26 2016|1.08699989319|0|1|0|0|0|0|0|
Wed Feb 10 23:45:27 2016|1.2349998951|0|1|0|0|0|0|0|
Wed Feb 10 23:47:28 2016|1.05400013924|0|1|0|0|0|0|0|
Wed Feb 10 23:49:30 2016|1.18499994278|0|1|0|0|0|0|0|
Wed Feb 10 23:51:31 2016|1.19400000572|0|1|0|0|0|0|0|
Wed Feb 10 23:53:32 2016|1.14899992943|0|1|0|0|0|0|0|
Wed Feb 10 23:55:33 2016|1.18499994278|0|1|0|0|0|0|0|
Wed Feb 10 23:57:34 2016|1.21200013161|0|1|0|0|0|0|0|
Wed Feb 10 23:59:36 2016|1.18200016022|0|1|0|0|0|0|0|
Thu Feb 11 00:01:37 2016|1.23799991608|0|1|0|0|0|0|0|
Thu Feb 11 00:03:38 2016|1.31699991226|0|1|0|0|0|0|0|
Thu Feb 11 00:05:40 2016|1.22800016403|0|1|0|0|0|0|0|
Thu Feb 11 00:07:41 2016|1.23799991608|0|1|0|0|0|0|0|
Thu Feb 11 00:09:42 2016|1.22199988365|0|1|0|0|0|0|0|
Thu Feb 11 00:11:43 2016|1.10699987411|0|1|0|0|0|0|0|
